dataset,depth,approach,hidden_layers,hidden_size,run_idx,seed,test_acc,test_ce,val_acc,val_ce
drybean,8,ffnn_1h_4,1,4,1,1276,0.8333333134651184,1.8783719539642334,0.8236590623855591,1.8789401054382324
drybean,8,ffnn_1h_4,1,4,2,1318,0.8311306834220886,1.8784080743789673,0.8170462846755981,1.8790770769119263
drybean,8,ffnn_1h_4,1,4,3,1360,0.8274596333503723,1.87841796875,0.8170462846755981,1.8790775537490845
drybean,8,ffnn_1h_4,1,4,4,1402,0.8281938433647156,1.8785048723220825,0.8192505240440369,1.879090428352356
drybean,8,ffnn_1h_4,1,4,5,1444,0.8289280533790588,1.8784973621368408,0.8192505240440369,1.8791041374206543
drybean,8,ffnn_1h_8,1,8,1,1276,0.8333333134651184,1.8783719539642334,0.8236590623855591,1.8789401054382324
drybean,8,ffnn_1h_8,1,8,2,1318,0.8311306834220886,1.8784080743789673,0.8170462846755981,1.8790770769119263
drybean,8,ffnn_1h_8,1,8,3,1360,0.8274596333503723,1.87841796875,0.8170462846755981,1.8790775537490845
drybean,8,ffnn_1h_8,1,8,4,1402,0.8281938433647156,1.8785048723220825,0.8192505240440369,1.879090428352356
drybean,8,ffnn_1h_8,1,8,5,1444,0.8289280533790588,1.8784973621368408,0.8192505240440369,1.8791041374206543
drybean,8,ffnn_1h_16,1,16,1,1276,0.8333333134651184,1.8783719539642334,0.8236590623855591,1.8789401054382324
drybean,8,ffnn_1h_16,1,16,2,1318,0.8311306834220886,1.8784080743789673,0.8170462846755981,1.8790770769119263
drybean,8,ffnn_1h_16,1,16,3,1360,0.8274596333503723,1.87841796875,0.8170462846755981,1.8790775537490845
drybean,8,ffnn_1h_16,1,16,4,1402,0.8281938433647156,1.878504753112793,0.8192505240440369,1.879090428352356
drybean,8,ffnn_1h_16,1,16,5,1444,0.8289280533790588,1.8784973621368408,0.8192505240440369,1.8791041374206543
drybean,12,ffnn_1h_4,1,4,1,1276,0.8722466826438904,1.8645908832550049,0.8780308365821838,1.8642258644104004
drybean,12,ffnn_1h_4,1,4,2,1318,0.8715124726295471,1.8645411729812622,0.8765613436698914,1.864255666732788
drybean,12,ffnn_1h_4,1,4,3,1360,0.8707782626152039,1.8646717071533203,0.8772960901260376,1.864362359046936
drybean,12,ffnn_1h_4,1,4,4,1402,0.8715124726295471,1.8646596670150757,0.8772960901260376,1.864344835281372
drybean,12,ffnn_1h_4,1,4,5,1444,0.8693098425865173,1.864588737487793,0.8787655830383301,1.8642815351486206
drybean,12,ffnn_1h_8,1,8,1,1276,0.8722466826438904,1.8645908832550049,0.8780308365821838,1.8642258644104004
drybean,12,ffnn_1h_8,1,8,2,1318,0.8715124726295471,1.8645411729812622,0.8765613436698914,1.864255666732788
drybean,12,ffnn_1h_8,1,8,3,1360,0.8707782626152039,1.8646717071533203,0.8772960901260376,1.864362359046936
drybean,12,ffnn_1h_8,1,8,4,1402,0.8715124726295471,1.8646596670150757,0.8772960901260376,1.864344835281372
drybean,12,ffnn_1h_8,1,8,5,1444,0.8693098425865173,1.864588737487793,0.8787655830383301,1.8642815351486206
drybean,12,ffnn_1h_16,1,16,1,1276,0.8722466826438904,1.8645910024642944,0.8780308365821838,1.8642258644104004
drybean,12,ffnn_1h_16,1,16,2,1318,0.8715124726295471,1.8645411729812622,0.8765613436698914,1.864255666732788
drybean,12,ffnn_1h_16,1,16,3,1360,0.8707782626152039,1.8646717071533203,0.8772960901260376,1.864362359046936
drybean,12,ffnn_1h_16,1,16,4,1402,0.8715124726295471,1.8646599054336548,0.8772960901260376,1.864344835281372
drybean,12,ffnn_1h_16,1,16,5,1444,0.8693098425865173,1.864588737487793,0.8787655830383301,1.8642815351486206
avila,4,ffnn_1h_4,1,4,1,1276,0.4106543958187103,2.4707183837890625,0.4185043275356293,2.4706451892852783
avila,4,ffnn_1h_4,1,4,2,1318,0.4106543958187103,2.470710515975952,0.4185043275356293,2.4706389904022217
avila,4,ffnn_1h_4,1,4,3,1360,0.4106543958187103,2.4707095623016357,0.4185043275356293,2.470637798309326
avila,4,ffnn_1h_4,1,4,4,1402,0.4106543958187103,2.470717430114746,0.4185043275356293,2.470644474029541
avila,4,ffnn_1h_4,1,4,5,1444,0.4106543958187103,2.4707140922546387,0.4185043275356293,2.4706413745880127
