dataset,depth,approach,optimizer,learning_rate,run_idx,seed,test_acc,test_ce,val_acc,val_ce
car,4,ffnn_0layer,sgd,0.005,2,1318,0.710982620716095,1.3015064001083374,0.7225433588027954,1.2990190982818604
car,4,ffnn_0layer,sgd,0.005,3,1360,0.7514450550079346,1.2922009229660034,0.7283236980438232,1.2896389961242676
car,4,ffnn_0layer,sgd,0.005,4,1402,0.7341040372848511,1.296915054321289,0.7283236980438232,1.2952744960784912
car,4,ffnn_0layer,sgd,0.005,5,1444,0.7398843765258789,1.2835471630096436,0.7341040372848511,1.2814278602600098
car,4,ffnn_0layer,sgd,0.01,1,1276,0.7225433588027954,1.2852299213409424,0.7052022814750671,1.2811996936798096
car,4,ffnn_0layer,sgd,0.01,2,1318,0.710982620716095,1.3013365268707275,0.7225433588027954,1.2989401817321777
car,4,ffnn_0layer,sgd,0.01,3,1360,0.7514450550079346,1.2920829057693481,0.7283236980438232,1.2895607948303223
car,4,ffnn_0layer,sgd,0.01,4,1402,0.7456647157669067,1.2952609062194824,0.7341040372848511,1.2937630414962769
car,4,ffnn_0layer,sgd,0.01,5,1444,0.7398843765258789,1.2831257581710815,0.7341040372848511,1.2811627388000488
car,4,ffnn_0layer,sgd,0.05,1,1276,0.7630057334899902,1.2731395959854126,0.7687861323356628,1.2686328887939453
car,4,ffnn_0layer,sgd,0.05,2,1318,0.710982620716095,1.3005070686340332,0.7225433588027954,1.2987078428268433
car,4,ffnn_0layer,sgd,0.05,3,1360,0.7341040372848511,1.2906605005264282,0.7225433588027954,1.2882338762283325
car,4,ffnn_0layer,sgd,0.05,4,1402,0.7341040372848511,1.2919926643371582,0.7225433588027954,1.2903831005096436
car,4,ffnn_0layer,sgd,0.05,5,1444,0.7398843765258789,1.2815958261489868,0.7341040372848511,1.2803499698638916
car,4,ffnn_0layer,sgd,0.1,1,1276,0.7630057334899902,1.2727214097976685,0.7687861323356628,1.268157958984375
car,4,ffnn_0layer,sgd,0.1,2,1318,0.710982620716095,1.300038456916809,0.7225433588027954,1.2986634969711304
car,4,ffnn_0layer,sgd,0.1,3,1360,0.7630057334899902,1.272064447402954,0.7687861323356628,1.2673512697219849
car,4,ffnn_0layer,sgd,0.1,4,1402,0.7630057334899902,1.272965908050537,0.7687861323356628,1.2685577869415283
car,4,ffnn_0layer,sgd,0.1,5,1444,0.7630057334899902,1.2727380990982056,0.7687861323356628,1.2682380676269531
car,4,sampler,adam,0.001,1,1276,0.7687861323356628,1.27704918384552,0.7341040372848511,1.2745893001556396
car,4,sampler,adam,0.001,2,1318,0.7456647157669067,1.2852542400360107,0.7341040372848511,1.2808103561401367
car,4,sampler,adam,0.001,3,1360,0.7630057334899902,1.2680624723434448,0.7687861323356628,1.2630290985107422
car,4,sampler,adam,0.001,4,1402,0.7630057334899902,1.2728166580200195,0.7687861323356628,1.2681541442871094
car,4,sampler,adam,0.001,5,1444,0.7630057334899902,1.2731335163116455,0.7687861323356628,1.2684248685836792
car,4,sampler,adam,0.005,1,1276,0.8034681677818298,1.259990930557251,0.7919074892997742,1.2558690309524536
car,4,sampler,adam,0.005,2,1318,0.8034681677818298,1.2599835395812988,0.7919074892997742,1.2558627128601074
