dataset,depth,approach,run_idx,seed,test_acc,test_ce,val_acc,val_ce
pima,8,sampler,1,1276,0.7402597665786743,0.6346637606620789,0.8051947951316833,0.6259362101554871
pima,8,sampler,2,1318,0.7272727489471436,0.6337503790855408,0.8051947951316833,0.6248220205307007
pima,8,sampler,3,1360,0.7532467246055603,0.6340115666389465,0.8181818127632141,0.6244017481803894
pima,8,sampler,4,1402,0.7532467246055603,0.6342651844024658,0.8051947951316833,0.6254348158836365
pima,8,sampler,5,1444,0.7532467246055603,0.6348338723182678,0.8311688303947449,0.6248520016670227
australian,4,ffnn_0layer_bias,1,1276,0.52173912525177,0.6844127774238586,0.6231884360313416,0.6841116547584534
australian,4,ffnn_0layer_bias,2,1318,0.52173912525177,0.6844128370285034,0.6231884360313416,0.6841117739677429
australian,4,ffnn_0layer_bias,3,1360,0.52173912525177,0.6844127774238586,0.6231884360313416,0.6841117143630981
australian,4,ffnn_0layer_bias,4,1402,0.52173912525177,0.6844128370285034,0.6231884360313416,0.6841115355491638
australian,4,ffnn_0layer_bias,5,1444,0.52173912525177,0.6844128370285034,0.6231884360313416,0.6841117143630981
australian,4,ffnn_0layer_nobias,1,1276,0.7681159377098083,0.6477755904197693,0.6521739363670349,0.6655150651931763
australian,4,ffnn_0layer_nobias,2,1318,0.7681159377098083,0.6477649211883545,0.6521739363670349,0.665497362613678
australian,4,ffnn_0layer_nobias,3,1360,0.7681159377098083,0.6477656960487366,0.6521739363670349,0.6655020713806152
australian,4,ffnn_0layer_nobias,4,1402,0.7681159377098083,0.6477645635604858,0.6521739363670349,0.6654949188232422
australian,4,ffnn_0layer_nobias,5,1444,0.7681159377098083,0.6477946639060974,0.6521739363670349,0.665537416934967
australian,4,sampler,1,1276,0.7681159377098083,0.6477756500244141,0.6521739363670349,0.6655149459838867
australian,4,sampler,2,1318,0.7681159377098083,0.6477651000022888,0.6521739363670349,0.6654971837997437
australian,4,sampler,3,1360,0.7681159377098083,0.6477671265602112,0.6521739363670349,0.6655021905899048
australian,4,sampler,4,1402,0.7681159377098083,0.6477648019790649,0.6521739363670349,0.6654949188232422
australian,4,sampler,5,1444,0.7681159377098083,0.6477945446968079,0.6521739363670349,0.6655373573303223
australian,8,ffnn_0layer_bias,1,1276,0.9130434989929199,0.5422705411911011,0.8550724983215332,0.5852957963943481
australian,8,ffnn_0layer_bias,2,1318,0.9130434989929199,0.5422892570495605,0.8550724983215332,0.5852672457695007
australian,8,ffnn_0layer_bias,3,1360,0.9130434989929199,0.5422744750976562,0.8550724983215332,0.5852569341659546
australian,8,ffnn_0layer_bias,4,1402,0.9130434989929199,0.5423133373260498,0.8550724983215332,0.585257887840271
australian,8,ffnn_0layer_bias,5,1444,0.9130434989929199,0.5422812700271606,0.8550724983215332,0.5852569937705994
australian,8,ffnn_0layer_nobias,1,1276,0.9130434989929199,0.5424774885177612,0.8550724983215332,0.5852708220481873
